TRB,AST,STL,BLK,TOV,PF,PTS
46,16,10,3,19,15,128
67,122,34,11,50,82,228
45,126,24,5,50,71,208
41,114,22,5,44,65,169
4,12,2,0,6,6,39
31,21,13,6,27,42,136
14,7,4,4,14,16,45
3,2,1,0,2,1,11
14,12,8,2,11,25,80
140,292,94,17,109,142,1280
243,11,15,89,43,162,208
64,1,4,16,18,39,75
86,15,10,10,17,42,41
291,47,26,46,48,159,210
41,14,10,2,14,31,135
335,56,63,85,92,129,508
183,33,40,48,52,64,256
152,23,23,37,40,65,252
637,124,41,73,139,279,939
294,90,45,35,102,206,804
192,61,25,22,66,144,548
102,29,20,13,36,62,256
211,114,58,11,76,127,1057
66,108,33,5,63,67,133
320,87,32,33,46,128,539
1,0,0,0,0,1,0
319,87,32,33,46,127,539
10,4,0,0,5,6,51
7,3,0,0,4,5,43
3,1,0,0,1,1,8
191,90,23,54,49,98,207
343,304,55,32,125,220,835
191,58,34,6,42,83,250
219,372,89,10,136,166,1023
3,12,1,0,6,6,40
578,87,71,67,67,223,651
365,53,48,55,74,223,931
79,41,20,4,17,67,185
373,501,142,82,252,181,2045
88,40,23,3,28,83,329
5,3,0,0,2,4,8
83,37,23,3,26,79,321
597,105,86,84,64,131,381
762,161,117,83,178,194,1386
325,80,80,70,63,222,710
38,40,10,1,12,19,69
314,52,24,18,80,126,733
212,35,17,10,57,83,490
102,17,7,8,23,43,243
169,180,103,8,69,124,667
240,399,104,16,175,181,619
18,11,6,6,4,13,36
268,62,45,40,60,153,768
192,101,39,25,65,126,518
605,239,76,60,173,233,1541
169,196,55,28,90,86,528
27,9,8,0,7,25,30
401,652,108,34,268,204,1322
23,4,5,3,3,12,59
117,13,13,12,38,64,152
249,135,66,25,76,144,451
4,4,0,0,4,5,16
303,798,96,16,252,208,1419
126,298,53,3,87,65,493
83,34,12,5,18,73,224
187,268,80,15,106,110,898
93,161,32,1,74,43,269
416,93,66,46,72,160,820
206,368,70,21,173,170,1092
110,66,23,6,29,49,365
46,1,8,19,20,41,52
146,21,13,21,30,85,201
348,223,43,10,124,126,656
331,234,106,21,121,165,845
190,71,30,11,58,134,435
235,91,52,32,53,94,510
144,41,29,18,44,45,259
102,48,28,8,56,147,639
201,52,34,20,94,106,595
350,97,81,15,126,133,926
58,10,4,5,9,28,57
251,168,34,31,71,153,867
2,1,1,0,4,4,15
78,10,11,19,18,73,143
17,2,3,5,1,13,29
61,8,8,14,17,60,114
14,2,2,2,3,5,6
35,4,5,7,8,30,18
709,170,82,94,153,220,1769
32,4,1,4,3,30,23
274,219,77,16,117,147,1321
193,104,129,44,86,161,643
267,60,59,25,103,121,457
185,17,14,33,24,87,200
219,20,23,58,25,79,250
84,13,5,9,22,40,134
34,7,3,3,8,11,56
50,6,2,6,14,29,78
23,18,3,6,13,24,94
355,52,30,38,49,137,681
563,221,68,46,206,224,1970
382,140,43,31,142,134,1259
181,81,25,15,64,90,711
266,24,10,93,36,194,153
189,274,74,21,177,188,755
70,117,30,12,71,76,363
119,157,44,9,106,112,392
408,162,120,31,118,180,826
131,14,18,21,28,84,92
114,10,15,16,25,75,77
17,4,3,5,3,9,15
103,125,21,1,60,71,310
80,100,14,1,43,60,274
23,25,7,0,17,11,36
342,53,52,63,88,228,729
306,32,20,56,64,153,229
225,498,54,3,155,152,1178
30,6,2,2,8,15,36
7,2,4,2,1,15,16
4,2,3,2,0,11,13
3,0,1,0,1,4,3
1,3,1,0,2,4,6
99,119,50,6,84,112,769
159,317,30,1,136,136,769
343,119,34,46,152,160,1414
228,71,39,22,58,127,356
76,11,8,6,16,46,79
40,4,6,4,11,32,36
22,4,2,2,2,10,36
14,3,0,0,3,4,7
424,57,27,52,97,159,854
99,12,5,15,12,59,100
373,185,69,81,79,158,624
281,153,53,71,63,127,509
92,32,16,10,16,31,115
361,123,68,49,83,194,990
165,266,38,5,127,149,651
15,28,2,1,17,16,50
150,238,36,4,110,133,601
409,158,54,52,195,222,1401
52,64,20,8,47,76,236
151,92,38,6,77,146,836
18,13,6,1,6,13,32
176,118,56,14,63,169,541
195,265,50,9,101,175,688
143,202,38,6,68,125,526
3,8,1,0,1,3,2
49,55,11,3,32,47,160
426,60,52,52,57,198,294
190,387,71,14,177,146,1208
125,271,52,12,129,94,840
65,116,19,2,48,52,368
565,77,95,42,113,213,674
156,170,40,3,73,99,319
526,144,98,51,172,182,1076
223,289,92,26,194,130,543
148,101,38,9,41,113,359
720,131,47,168,125,217,830
239,60,26,21,27,110,481
251,35,29,42,38,115,346
565,145,45,18,149,186,1033
641,144,59,49,138,172,1438
55,141,38,3,52,43,408
4,1,1,0,0,3,8
17,12,9,0,16,20,52
676,120,92,106,101,244,1217
175,89,100,16,87,159,552
152,77,89,14,77,134,483
23,12,11,2,10,25,69
262,140,106,22,55,82,503
184,18,14,3,24,119,136
78,233,34,3,99,115,634
51,129,21,2,55,69,394
27,104,13,1,44,46,240
99,33,20,10,35,59,185
84,29,16,8,28,48,151
15,4,4,2,7,11,34
450,43,26,39,69,174,524
157,96,67,16,75,124,712
419,388,99,12,243,172,2078
281,127,41,18,67,114,765
118,46,28,8,49,59,436
77,27,8,15,24,37,222
76,27,8,15,22,34,206
1,0,0,0,2,3,16
508,73,19,106,74,140,612
74,195,52,4,83,113,482
202,605,81,7,148,143,669
606,121,40,92,62,140,277
43,7,4,10,19,47,81
59,40,24,7,17,82,145
48,11,12,5,16,33,127
47,11,11,5,16,33,125
1,0,1,0,0,0,2
8,4,1,1,0,5,10
8,2,1,1,0,5,10
0,2,0,0,0,0,0
68,23,17,6,23,43,235
51,69,27,6,39,49,110
12,26,9,1,14,19,26
39,43,18,5,25,30,84
275,146,67,20,90,193,1022
90,64,20,3,36,70,333
185,82,47,17,54,123,689
307,74,54,13,68,115,610
146,177,76,7,91,158,447
692,32,36,80,88,240,748
408,120,48,94,104,199,1100
303,86,34,70,67,152,838
105,34,14,24,37,47,262
155,42,33,23,44,68,272
101,9,8,18,28,45,163
17,4,1,3,2,6,29
84,5,7,15,26,39,134
24,2,4,1,7,29,19
17,1,4,1,5,24,17
7,1,0,0,2,5,2
102,22,9,9,26,97,96
5,8,2,0,4,2,17
225,403,87,14,194,109,1039
316,69,42,31,55,210,329
247,528,144,18,176,182,1107
96,15,12,11,25,75,193
72,20,14,1,17,51,239
3,0,0,1,1,1,4
699,204,85,68,268,332,1143
130,241,57,14,145,97,1077
105,117,39,3,83,63,490
28,15,3,0,15,13,67
