TRB%,AST%,STL%,BLK%,TOV%,PF,PTS
8.6,8,1.1,1.3,9.6,160,635
5.3,2.6,1,0.4,1.8,21,113
11.7,13,1.2,2,7.8,208,2027
12.7,3,2,6,22.1,12,19
14.3,8.4,0.7,3.9,12.9,212,950
17,11.3,0.6,3.9,15.7,169,636
9.3,11.1,0.9,1.1,36.2,121,83
21.9,6.7,0.9,7.7,17.8,84,233
17.3,15.6,1.5,1.7,15.3,227,882
18.4,3.5,1.2,4.1,12.5,218,850
14.2,8.5,0.9,3,12.6,223,988
5.5,10.8,1.8,0,11,16,44
9.8,7.6,1.3,1.8,9.4,43,309
10.2,5.9,1.7,2.8,9.7,13,109
9.6,8.4,1.1,1.3,9.3,30,200
15.7,5.6,1.8,2.2,15.8,186,333
5.2,17.5,1.8,0.2,11.1,68,344
6,9.9,1.4,0.6,12.1,151,595
4.6,30.9,0.9,0.3,15.3,96,894
6.5,45.4,2.9,0.4,13.5,118,841
7.5,10,1.3,0.5,14.5,84,263
15.5,4,1,2.4,13.7,55,197
16.9,6,0.6,4.8,20.4,219,791
7.6,6.2,1.3,0.4,7.7,81,327
17.1,4.8,1.2,2.2,17.3,80,122
7.9,15.1,1.8,1,13.6,196,1296
7.4,4.7,1.6,1.4,10.5,138,651
11.2,9.3,1.3,0.8,11.8,204,399
15.4,0,1.3,0.7,12.5,36,79
11.2,9,0.8,0.8,13.7,71,169
5.6,20.5,2,0.2,13.2,53,410
5.4,22,2.5,1.3,17.3,109,255
9,16.9,1.1,1.1,8.8,77,661
21.6,1.7,0.6,5.1,26.5,95,123
4.1,20.9,2.1,0.3,14.6,15,56
11.3,7.2,1.6,0.6,13.4,97,256
13.1,8.6,1.2,0.6,10.1,18,39
10.9,6.9,1.6,0.6,14,79,217
16,8.5,1.8,4.9,11.7,92,384
15.6,3.2,1,1.5,13.7,9,14
16.3,0,1.1,1.7,11.8,9,10
10.3,28.6,0,0,20.5,0,4
18.2,8.2,1.3,0.8,10.1,226,1681
11.6,4.7,0.8,6,19.1,87,178
12.8,6.9,0.9,7.1,29.8,27,34
11.3,4.1,0.8,5.7,15.5,60,144
6.2,13,2,0.3,5.8,24,215
5,13.9,0.8,0.2,8.8,118,788
14.7,4.4,1.8,1.4,29.3,50,37
9.2,8.8,1.3,0.9,7.9,169,1239
10.6,7,1.8,0.7,9.5,169,678
4.6,31.9,1.6,0.3,12.4,182,852
5.8,24.9,2.3,0.3,12.3,116,567
5.6,26.4,1.9,0.5,12.8,66,397
6.1,22.1,3,0,10.9,50,170
4.8,32.2,2.4,0.4,22.5,84,434
5.5,37.7,2.9,0.4,21.4,46,234
4.2,26.9,2,0.3,24,38,200
7.5,43.7,3.3,0.3,19.3,198,1110
5.7,30.3,1,0.7,12.5,96,1619
5,3,1.2,0.8,8.6,69,92
5.1,3.3,1.2,1,4.8,34,54
4.9,2.8,1.2,0.6,12.2,35,38
7.3,23.1,1.4,0.5,9.5,136,1398
7.6,6.9,1.1,1.9,11.1,159,774
6,10,1.8,3.8,21.4,8,9
5.4,12.9,1.8,0.7,9.9,166,1245
5.7,11.6,2,1,10.3,101,649
4.8,15,1.6,0.3,9.4,65,596
6.2,8.1,1,0.7,16.2,59,78
15.1,11.1,1.2,0.7,11.9,246,1329
9.5,8.9,2.1,1.5,15.8,154,489
6.9,23.3,1.6,0.2,17.2,137,674
9.2,6.3,2,0.6,13.1,52,122
16.3,4.8,1.5,3.3,14.8,113,254
14.9,6.3,2.7,2.5,15.3,31,59
16.6,4.3,1.2,3.6,14.7,82,195
12.7,0,1.3,2.4,19.7,20,26
13.5,11.8,1.4,1.5,15.3,194,585
6.5,15,2.4,0.7,11,174,1156
12.1,7.5,1.7,3.4,15.4,110,189
15.5,5.3,0.5,2.4,9.3,95,194
14.3,19,2.4,4.5,14.3,240,1269
9.7,7.9,2.3,0.8,13.5,206,543
14.6,6.2,1.5,2.6,9.1,152,532
6.6,13.4,1.3,0.8,16,56,358
5.9,8.9,0.9,0.5,14.4,74,136
6.1,10,0.9,0.6,17.4,51,87
5.6,6.2,1,0.3,8.5,23,49
6.8,7.2,1.3,0.2,7.1,83,784
14.5,4.8,0.9,2.1,12.1,281,1896
6.8,24.7,2.2,0.4,11.4,205,1215
6.7,6.3,1.1,1.5,9.8,52,134
8.7,8.4,1.7,0.7,12,15,128
5.4,25.1,2.5,1.2,16.7,82,228
4,29.9,1.9,0.6,18.7,71,208
4.1,30.3,2,0.6,19.7,65,169
3.1,27.1,1.4,0,13.7,6,39
5.4,9.6,2,1.3,18,42,136
6.8,8.9,1.7,2.5,26.1,16,45
7.5,13.2,2.2,0,16.4,1,11
4.3,9.5,2.2,0.7,13.1,25,80
3.2,18.8,1.9,0.5,8.6,142,1280
16.1,1.7,0.9,7.7,20,162,208
11.4,0.5,0.6,3.7,18.8,39,75
15.7,6.5,1.6,2.3,29.7,42,41
15.8,6.7,1.3,3.4,18.3,159,210
8.2,8,1.8,0.5,10.7,31,135
15.9,7.8,2.7,5.5,15.6,129,508
15,7.8,3,5.4,17.5,64,256
16.9,7.8,2.3,5.6,13.7,65,252
15.5,8.3,0.9,2.3,13.3,279,939
8.2,7.1,1.1,1.3,11.7,206,804
7.9,7.2,0.9,1.2,11.2,144,548
8.7,7.1,1.6,1.5,12.7,62,256
6.6,10.3,1.6,0.4,7.3,127,1057
6.5,25.4,2.9,0.6,29.3,67,133
12.5,8.6,1.1,1.7,8.3,128,539
15.5,0,0,0,0,1,0
12.5,8.6,1.1,1.7,8.3,127,539
5.9,6.4,0,0,9.4,6,51
5.6,6.4,0,0,9.3,5,43
6.7,6.4,0,0,10,1,8
12.2,13.8,1.3,4.4,21.4,98,207
8.9,19.5,1.2,1.1,13.9,220,835
11.6,8.8,1.8,0.5,13.6,83,250
5.1,24.1,1.8,0.3,13.1,166,1023
1.8,20,0.5,0,14.7,6,40
15.9,6.1,1.7,2.4,11,223,651
12,5.2,1.4,2.5,7.7,223,931
7.7,10.5,1.8,0.5,8.7,67,185
7.8,36.4,2.7,2.4,12.2,181,2045
6.5,8.3,1.5,0.3,9.9,83,329
10.6,15.6,0,0,22.5,4,8
6.4,8,1.6,0.3,9.5,79,321
18.3,8,2.4,3.6,15,131,381
14.7,9,2,2.2,13.1,194,1386
11.2,7.3,2.4,3.1,8.2,222,710
7.8,21.5,1.9,0.3,12.3,19,69
11.4,5.6,0.8,0.9,10.7,126,733
11.8,5.8,0.9,0.8,11.2,83,490
10.6,5.2,0.7,1.1,9.6,43,243
5.3,14.3,2.8,0.3,10.3,124,667
5.6,25.6,2.2,0.5,22.6,181,619
7.2,11.1,2.1,3.1,10.1,13,36
8.3,5,1.2,1.6,7.8,153,768
8.3,11.6,1.5,1.4,11.8,126,518
12,13.7,1.3,1.5,11.2,233,1541
6.7,20,1.9,1.4,15.3,86,528
11.1,8.8,3,0,21.6,25,30
8.2,38.6,2,0.9,16.6,204,1322
12.9,7.4,2.5,2.2,6.2,12,59
16.1,4.9,1.6,2.3,21,64,152
8.8,12.5,2.1,1.2,14.8,144,451
3.9,10.1,0,0,22.5,5,16
6.4,44.5,1.8,0.5,16.9,208,1419
4.3,26.9,1.6,0.1,16.4,65,493
6.7,6.8,0.8,0.5,7.4,73,224
5.8,22.9,2.2,0.6,12,110,898
6.2,26.7,1.9,0.1,20,43,269
9.8,5.6,1.4,1.4,8.7,160,820
5.2,25,1.6,0.7,15.5,170,1092
7.8,12.7,1.4,0.5,8.5,49,365
11.7,0.7,1.9,6.2,25.9,41,52
15,5.3,1.1,2.8,15.5,85,201
11.4,22.4,1.3,0.4,14.8,126,656
7.1,13.3,2.1,0.6,12.8,165,845
8.1,7.4,1.1,0.6,11.8,134,435
9.2,9.8,1.9,1.7,10.6,94,510
9.7,7,1.7,1.6,15,45,259
4.1,5.7,1,0.4,8.3,147,639
8.9,6.2,1.3,1.2,14.1,106,595
9.6,7.5,2,0.6,12.5,133,926
